years BP 2000,permille
18950,-41.97
18950,-41.52
19000,-41.52
19000,-41.13
19050,-41.13
19050,-41.05
19100,-41.05
19100,-41.36
19150,-41.36
19150,-42.82
19200,-42.82
19200,-40.88
19250,-40.88
19250,-40.98
19300,-40.98
19300,-42.6
19350,-42.6
19350,-41.77
19400,-41.77
19400,-42.57
19450,-42.57
19450,-42.18
19500,-42.18
19500,-42.22
19550,-42.22
19550,-41.73
19600,-41.73
19600,-42.29
19650,-42.29
19650,-42.01
19700,-42.01
19700,-42.9
19750,-42.9
19750,-43.2
19800,-43.2
19800,-43.34
19850,-43.34
19850,-42.38
19900,-42.38
19900,-42.76
19950,-42.76
19950,-43.87
20000,-43.87
20000,-42.03
20050,-42.03
20050,-41.01
20100,-41.01
20100,-41.79
20150,-41.79
20150,-42.28
20200,-42.28
20200,-42.11
20250,-42.11
20250,-42.7
20300,-42.7
20300,-42.49
20350,-42.49
20350,-42.75
20400,-42.75
20400,-44.28
20450,-44.28
20450,-42.61
20500,-42.61
20500,-43.15
20550,-43.15
20550,-42.06
20600,-42.06
20600,-42.96
20650,-42.96
20650,-43.29
20700,-43.29
20700,-42.14
20750,-42.14
20750,-42.41
20800,-42.41
20800,-42.77
20850,-42.77
20850,-42.07
20900,-42.07
20900,-43.05
20950,-43.05
20950,-42.14
21000,-42.14
21000,-41.71
21050,-41.71
21050,-42.65
21100,-42.65
21100,-42.95
21150,-42.95
21150,-43.75
21200,-43.75
21200,-42.91
21250,-42.91
21250,-43.28
21300,-43.28
21300,-42.36
21350,-42.36
21350,-41.85
21400,-41.85
21400,-42.83
21450,-42.83
21450,-41.87
21500,-41.87
21500,-42.03
21550,-42.03
21550,-41.59
21600,-41.59
21600,-41.56
21650,-41.56
21650,-42.14
21700,-42.14
21700,-42.34
21750,-42.34
21750,-42.9
21800,-42.9
21800,-42.4
21850,-42.4
21850,-42.31
21900,-42.31
21900,-43.01
21950,-43.01
21950,-42.24
22000,-42.24
22000,-42.38
22050,-42.38
22050,-43.48
22100,-43.48
22100,-41.22
22150,-41.22
22150,-41.2
22200,-41.2
22200,-42.49
22250,-42.49
22250,-41.87
22300,-41.87
22300,-41.18
22350,-41.18
22350,-42.27
22400,-42.27
